,protocol,io,srcport,dstport,payload
672,1,0,80,0,0.09638506091471939
673,1,0,80,0,7.448172558418214
674,1,1,0,80,53.95
675,1,0,80,0,0.8408963809219462
676,1,1,0,80,60.325
677,1,1,0,80,891.35
678,1,0,80,0,0.09638891108092994
679,1,0,80,0,0.9569447774314712
680,1,1,0,80,34.975
681,1,0,80,0,17.76735639530239
682,1,1,0,80,57.1375
683,1,0,80,0,11.254933290724615
684,1,1,0,80,57.1375
685,1,1,0,80,1159.1875
686,1,0,80,0,0.08620276424063274
687,1,0,80,0,0.8608492450267636
688,1,1,0,80,60.325
689,1,1,0,80,900.825
690,1,0,80,0,0.09129583766078134
691,1,0,80,0,17.83865942318447
692,1,1,0,80,60.325
693,1,0,80,0,16.009806662938402
694,1,1,0,80,60.325
695,1,1,0,80,957.625
696,1,0,80,0,0.08620276424063274
697,1,1,0,80,642.6125
698,1,0,80,0,0.09129219093269422
699,1,1,0,80,633.1
700,1,0,80,0,0.09128854449592587
701,1,0,80,0,1.265568204513681
702,1,1,0,80,642.5625
703,1,0,80,0,0.08619243519591005
704,1,0,80,0,1.6195678223358363
705,1,1,0,80,53.95
706,1,1,0,80,648.9125
707,1,0,80,0,5.211686703678556
708,1,1,0,80,60.325
709,1,0,80,0,7.121649690433394
710,1,1,0,80,53.95
711,1,1,0,80,648.8375
712,1,0,80,0,15.591471939285
713,1,1,0,80,53.95
714,1,0,80,0,36.72177838140129
715,1,1,0,80,57.1375
716,1,0,80,0,28.770851641767198
717,1,1,0,80,60.325
718,1,1,0,80,888.2375
719,1,0,80,0,0.10148198450107854
720,1,0,80,0,0.09641201853923606
721,1,1,0,80,63.5125
722,1,0,80,0,0.09131772414895317
723,1,0,80,0,0.10657931530379898
724,1,1,0,80,69.8875
725,1,0,80,0,0.10657931530379898
726,1,0,0,443,8.851015801354402
727,1,0,80,0,17.89977630422625
728,1,1,0,80,60.325
729,1,0,80,0,14.635196133258768
730,1,1,0,80,60.325
731,1,1,0,80,661.625
732,1,0,80,0,0.09129583766078134
733,1,1,0,80,655.2625
734,1,1,0,80,652.0875
735,1,1,0,80,982.8
736,1,0,80,0,17.91433992410625
737,1,1,0,80,63.5125
738,1,0,80,0,17.771739564609547
739,1,1,0,80,57.1375
